end_date,state,pollster,population,sample_size,numeric_grade,pollscore,pct,candidate_name,national_poll,recency
2024-08-01,Michigan,Pollster C,lv,773,1.0053937464253977,-1.345646005938761,77.6,Donald Trump,0,96
2024-10-03,Georgia,Pollster B,rv,1013,1.6881527700461447,-1.116183181409724,64.8,Kamala Harris,0,33
2024-10-30,Arizona,Pollster D,lv,1840,1.3456059050513431,-0.13837198715191334,42.7,Kamala Harris,0,6
2024-08-07,Wisconsin,Pollster C,lv,972,2.5566865819273517,0.4245553297223523,31,Donald Trump,0,90
2024-09-07,Georgia,Pollster B,rv,1666,1.4782588406233117,-0.7798350289231166,73.8,Donald Trump,0,59
2024-10-11,National,Pollster C,rv,1358,2.7762568067992106,-0.710759409936145,64,Kamala Harris,1,25
2024-10-20,Pennsylvania,Pollster D,lv,190,1.0375081853708252,1.0657564928987995,37.9,Donald Trump,0,16
2024-09-08,Pennsylvania,Pollster B,lv,2192,1.935371894040145,1.1966184881748632,75.2,Donald Trump,0,58
2024-09-28,Georgia,Pollster A,rv,226,2.324001982458867,-0.19414134905673563,51.5,Kamala Harris,0,38
2024-08-16,Pennsylvania,Pollster A,rv,1637,1.3829538064310327,0.8570887723471969,45.4,Donald Trump,0,81
2024-08-06,Wisconsin,Pollster D,lv,107,1.9850676705827937,0.409939520759508,55.6,Kamala Harris,0,91
2024-08-29,Michigan,Pollster D,lv,575,2.872275813249871,1.135134611162357,62.8,Donald Trump,0,68
2024-07-31,Michigan,Pollster B,rv,476,1.8625271123601124,1.8409964678576216,62.1,Kamala Harris,0,97
2024-10-21,Georgia,Pollster A,lv,1290,2.3042401754064485,0.43424206459894776,32.4,Donald Trump,0,15
2024-10-23,Nevada,Pollster C,lv,1607,0.6836945570539683,1.343319198465906,33.4,Kamala Harris,0,13
2024-09-20,Wisconsin,Pollster B,lv,715,1.41998832533136,-0.7706875817384571,56.9,Donald Trump,0,46
2024-08-17,Wisconsin,Pollster C,rv,698,0.7844788046786562,-0.7224727898137644,64.3,Donald Trump,0,80
2024-07-26,North Carolina,Pollster D,lv,1029,1.9438945741858333,-1.2230580972973257,54.1,Donald Trump,0,102
2024-10-28,Wisconsin,Pollster D,lv,1663,2.906835258589126,-1.009039387688972,74,Kamala Harris,0,8
2024-08-13,North Carolina,Pollster D,rv,1257,1.1889373803278431,-0.8934515005676076,69,Kamala Harris,0,84
2024-10-06,Arizona,Pollster B,rv,288,2.4488098815781996,1.757399994530715,46.4,Kamala Harris,0,30
2024-07-22,Wisconsin,Pollster A,rv,1974,1.7695444654673338,0.3352065352955833,37.9,Donald Trump,0,106
2024-09-18,Wisconsin,Pollster C,lv,241,0.5452974520158023,0.7391589982435107,58.7,Kamala Harris,0,48
2024-10-09,North Carolina,Pollster A,lv,2085,0.5253799511119723,0.6991017082473263,47.1,Donald Trump,0,27
2024-08-05,Nevada,Pollster D,lv,988,0.9364116134820506,1.115147179691121,62.7,Donald Trump,0,92
2024-09-11,Wisconsin,Pollster B,lv,2131,2.0184506215155125,-0.7369841643376276,52.2,Kamala Harris,0,55
2024-09-27,National,Pollster D,rv,1137,2.239838993526064,1.7927845949307084,38.1,Kamala Harris,1,39
2024-07-25,Arizona,Pollster C,lv,1974,0.744563051383011,0.5191863358486444,68.2,Kamala Harris,0,103
2024-10-10,Nevada,Pollster B,rv,346,1.5810228320769966,-0.1699857769999653,72.2,Kamala Harris,0,26
2024-09-21,Pennsylvania,Pollster C,lv,1920,2.9448066751938313,1.1948184778448194,53.6,Kamala Harris,0,45
2024-08-16,National,Pollster D,lv,1017,2.7050235170172527,-0.23469609185121953,30.7,Donald Trump,1,81
2024-08-20,North Carolina,Pollster A,lv,1293,2.027082707034424,1.5151670192135498,46.5,Kamala Harris,0,77
2024-07-31,Michigan,Pollster B,rv,339,1.2737862778594717,0.7310170374112204,64.1,Kamala Harris,0,97
2024-10-22,Arizona,Pollster A,lv,2164,0.8088250657310709,0.8107165574328974,45.6,Kamala Harris,0,14
2024-08-15,Georgia,Pollster A,rv,1122,2.6541389083722606,-1.0384598408127204,61.7,Kamala Harris,0,82
2024-10-27,Wisconsin,Pollster D,lv,1142,1.056532500195317,0.6938694715499878,55,Kamala Harris,0,9
2024-08-06,Georgia,Pollster B,lv,1238,1.3339772891486064,-1.2611468362156302,37.3,Kamala Harris,0,91
2024-08-12,National,Pollster C,lv,1973,1.8539551087887958,0.7117450822843239,42.3,Kamala Harris,1,85
2024-09-13,Arizona,Pollster C,lv,2152,0.9312601289711893,1.863022505538538,33.8,Donald Trump,0,53
2024-09-15,National,Pollster D,rv,1266,2.0926657943055034,-0.39484058460220695,67.8,Donald Trump,1,51
2024-07-30,National,Pollster A,rv,530,0.6836357003776357,0.9656607839278877,72.1,Donald Trump,1,98
2024-11-02,Arizona,Pollster C,lv,1241,0.5287743529770523,-0.3856987504987046,62,Donald Trump,0,3
2024-08-05,National,Pollster C,lv,341,1.49334511149209,-0.5433009477565065,53.9,Donald Trump,1,92
2024-07-29,Michigan,Pollster B,rv,787,1.207916785031557,-1.3100909790955484,63.9,Kamala Harris,0,99
2024-09-06,National,Pollster A,rv,852,0.7086748514557257,0.7989877146901563,76.1,Kamala Harris,1,60
2024-10-08,Nevada,Pollster B,rv,666,1.5895367397461087,0.6917517191031948,46.7,Kamala Harris,0,28
2024-09-05,Nevada,Pollster B,lv,282,2.6240142203168944,0.15998941857833415,61.5,Kamala Harris,0,61
2024-08-14,Georgia,Pollster A,lv,2012,1.9287185162538663,-0.36137410637456924,37.3,Kamala Harris,0,83
2024-10-09,Michigan,Pollster B,rv,1414,2.9506452691275626,1.2143838158808649,55.7,Donald Trump,0,27
2024-08-30,Wisconsin,Pollster A,lv,1312,2.921935328748077,1.565484062419273,79.7,Donald Trump,0,67
2024-10-07,Arizona,Pollster A,rv,1039,2.684215097222477,-0.222760587814264,71.6,Kamala Harris,0,29
2024-10-03,Nevada,Pollster D,rv,1745,2.024730454548262,0.4947833555052057,40.4,Donald Trump,0,33
2024-10-26,Arizona,Pollster A,rv,2200,2.4832888268865645,-0.20296009280718863,60.2,Kamala Harris,0,10
2024-10-10,Arizona,Pollster A,rv,1275,1.8684749248204753,1.5072027733549476,72.7,Kamala Harris,0,26
2024-09-02,Nevada,Pollster C,rv,1540,1.3330282219685614,0.4867994614178315,60.5,Kamala Harris,0,64
2024-09-08,Arizona,Pollster D,lv,149,0.9640253685647622,0.19425131229218096,48.4,Donald Trump,0,58
2024-09-30,Pennsylvania,Pollster D,lv,1163,0.6175692421384156,0.36409544153138995,73.7,Donald Trump,0,36
2024-08-18,Arizona,Pollster C,lv,2060,1.1910683726891875,0.372949926299043,77.5,Donald Trump,0,79
2024-08-13,National,Pollster A,lv,1618,1.528165141469799,-1.2842537888791412,44.4,Donald Trump,1,84
2024-08-08,Michigan,Pollster D,rv,1585,0.7544938318897039,-0.3488444216782227,49.8,Donald Trump,0,89
2024-07-21,Nevada,Pollster D,rv,1377,2.5796183944912627,1.9325338032795116,52,Donald Trump,0,107
2024-08-27,Nevada,Pollster D,rv,228,2.7377109760418534,1.6142383824335411,71.5,Kamala Harris,0,70
2024-08-25,Michigan,Pollster A,lv,735,2.4548668252537027,-0.639170193229802,67.5,Kamala Harris,0,72
