end_date,state,pollster,population,sample_size,numeric_grade,poll_score,pct,candidate,national_poll,recency,sample_size_weight,recency_weight,combined_weight
2024-08-09,National,Pollster D,lv,2174,0.9677569249179214,-0.9243390654446557,71.1,Kamala Harris,1,88,0.9452173913043478,1.507330750954765e-4,1.4247552402502865e-4
2024-09-18,Georgia,Pollster B,rv,827,2.995074682519771,-0.7495203772559762,59.2,Donald Trump,0,48,0.35956521739130437,0.008229747049020023,0.00295913078675633
2024-10-27,Nevada,Pollster B,lv,1511,2.3130900943651795,1.5739703126018867,45,Kamala Harris,0,9,0.6569565217391304,0.4065696597405991,0.26709858950784576
2024-10-12,National,Pollster D,lv,1307,2.4328980083810166,-0.5273507322417572,71.2,Donald Trump,1,24,0.5682608695652174,0.09071795328941247,0.0515514630214183
2024-07-30,Arizona,Pollster D,lv,2116,2.0842906635953113,1.1348099594470114,59,Kamala Harris,0,98,0.92,5.5451599432176945e-5,5.1015471477602794e-5
2024-08-18,Arizona,Pollster C,rv,1536,0.7375812199898064,1.9468086102278903,36.9,Donald Trump,0,79,0.6678260869565218,3.707435404590882e-4,2.475922078891998e-4
2024-10-08,Arizona,Pollster D,rv,1739,2.799635398085229,0.06700730719603598,75.6,Kamala Harris,0,28,0.7560869565217392,0.06081006262521795,0.0459776951761974
2024-09-05,Nevada,Pollster A,lv,1552,1.5678954201284796,-1.0546657693339512,61.7,Kamala Harris,0,61,0.6747826086956522,0.002242867719485801,0.0015134481307138973
2024-08-02,Michigan,Pollster A,rv,365,1.919912803103216,-0.7696381710702553,55.5,Kamala Harris,0,95,0.15869565217391304,7.48518298877006e-5,1.1878659960439442e-5
2024-09-14,North Carolina,Pollster B,lv,183,1.1885140022495762,1.1881727918516845,77.8,Donald Trump,0,52,0.07956521739130434,0.0055165644207607716,4.389266473909657e-4
2024-08-08,Pennsylvania,Pollster A,rv,1701,0.5258926569949836,-1.3699030095012859,51.4,Donald Trump,0,89,0.7395652173913043,1.363889264820114e-4,1.0086850606343538e-4
2024-10-31,North Carolina,Pollster B,rv,741,2.6513703127857298,1.608503092895262,74.1,Donald Trump,0,5,0.32217391304347825,0.6065306597126334,0.19540835602046147
2024-09-24,Michigan,Pollster C,rv,1029,2.5499207137618214,0.17558834631927311,58.9,Donald Trump,0,42,0.4473913043478261,0.014995576820477703,0.006708890673161547
2024-10-01,Arizona,Pollster C,rv,1573,1.9914773486088961,-0.10520518210250884,79.2,Kamala Harris,0,35,0.6839130434782609,0.0301973834223185,0.020652384401437827
2024-10-07,National,Pollster A,rv,2232,0.7377084398176521,-0.25879667152184993,64.6,Donald Trump,1,29,0.9704347826086956,0.05502322005640721,0.05339644659386995
2024-07-24,Nevada,Pollster C,rv,100,2.5166926784440875,0.016775718424469233,38.5,Kamala Harris,0,104,0.043478260869565216,3.0432483008403625e-5,1.3231514351479836e-6
2024-10-24,Wisconsin,Pollster D,rv,2284,2.3600439984584227,1.479162659845315,41.3,Kamala Harris,0,12,0.9930434782608696,0.301194211912202,0.29909894782933455
2024-09-21,Michigan,Pollster D,rv,1557,1.3714039425831288,-0.8735767903272063,45.3,Donald Trump,0,45,0.6769565217391305,0.011108996538242306,0.007520307656540552
2024-09-26,Michigan,Pollster B,lv,1379,1.64619831496384,-1.4784455075860023,46.8,Donald Trump,0,40,0.5995652173913043,0.01831563888873418,0.010981420011984535
2024-09-16,Pennsylvania,Pollster A,lv,1175,1.4591121203266084,-0.19954323070123792,33.7,Donald Trump,0,50,0.5108695652173914,0.006737946999085467,0.003442212053880619
2024-09-12,Nevada,Pollster D,rv,1115,2.629728209692985,-0.6921293800696731,48.5,Donald Trump,0,54,0.48478260869565215,0.004516580942612666,0.0021895598917448357
2024-09-22,North Carolina,Pollster B,lv,2175,1.8574419810902327,1.4838541363133118,39.4,Donald Trump,0,44,0.9456521739130435,0.012277339903068436,0.011610093169206021
2024-08-08,Georgia,Pollster C,rv,1905,1.5327377548674121,-1.4825157028390095,52.6,Donald Trump,0,89,0.8282608695652174,1.363889264820114e-4,1.1296561084705726e-4
2024-09-15,North Carolina,Pollster B,lv,1219,0.5342434219783172,0.4720698979217559,75.5,Kamala Harris,0,51,0.53,0.006096746565515633,0.0032312756797232855
2024-09-13,Nevada,Pollster A,rv,324,2.5236577943433076,1.4306393961887807,49.6,Donald Trump,0,53,0.1408695652173913,0.004991593906910213,7.031636634082213e-4
2024-08-12,Nevada,Pollster B,rv,1503,1.1926049140747637,1.0199399436824024,31.6,Donald Trump,0,85,0.6534782608695652,2.0346836901064417e-4,1.3296215592304268e-4
2024-08-08,Nevada,Pollster A,rv,216,1.0305248132208362,1.6352175381034613,53.4,Donald Trump,0,89,0.09391304347826086,1.363889264820114e-4,1.2808699182658461e-5
2024-10-12,Arizona,Pollster B,lv,2062,2.138967243488878,1.6642773328348994,75.6,Kamala Harris,0,24,0.8965217391304348,0.09071795328941247,0.08133061725337762
2024-08-24,National,Pollster C,rv,1470,1.33860628597904,-0.6920426706783473,79.4,Kamala Harris,1,73,0.6391304347826087,6.755387751938437e-4,4.317573911021523e-4
2024-08-22,Michigan,Pollster B,lv,2101,1.6994348134612665,-0.767963414429687,78,Donald Trump,0,75,0.9134782608695652,5.530843701478336e-4,5.052305485567819e-4
2024-09-17,Michigan,Pollster D,rv,1787,1.8372638926375657,-0.018731276970356703,76.1,Donald Trump,0,49,0.7769565217391304,0.007446583070924338,0.005785671281626866
2024-07-25,National,Pollster D,rv,1898,2.5059079449856654,0.8886538486694917,78.9,Kamala Harris,1,103,0.8252173913043478,3.363309518571897e-5,2.7754615070649827e-5
2024-09-07,Georgia,Pollster D,rv,1149,1.5514520696597174,-0.38719585246872157,55.4,Kamala Harris,0,59,0.49956521739130433,0.0027394448187683684,0.0013685313464195023
2024-07-23,Wisconsin,Pollster C,rv,927,1.1434816058026627,1.6642655020114034,51.1,Donald Trump,0,105,0.40304347826086956,2.7536449349747158e-5,1.1098386324876355e-5
2024-10-22,Michigan,Pollster A,rv,2022,1.719802568666637,1.5974206329556182,77.8,Kamala Harris,0,14,0.8791304347826087,0.24659696394160643,0.21679089612605573
2024-08-17,Arizona,Pollster D,lv,1934,1.3322548144496977,-0.22796139842830598,70.5,Donald Trump,0,80,0.8408695652173913,3.3546262790251185e-4,2.8208031407106867e-4
2024-07-29,Pennsylvania,Pollster B,rv,20,2.038659644429572,-0.0875890834722668,77.9,Kamala Harris,0,99,0.008695652173913044,5.017468205617528e-5,4.3630158309717637e-7
2024-08-30,Georgia,Pollster D,rv,553,2.8242641816614196,-0.6192518072202802,78.5,Donald Trump,0,67,0.24043478260869566,0.001230911902673481,2.9595403572975435e-4
2024-08-07,Michigan,Pollster C,rv,1987,1.1068604812026024,0.5216305050998926,69.1,Donald Trump,0,90,0.8639130434782609,1.2340980408667956e-4,1.0661533944357926e-4
2024-07-24,National,Pollster B,rv,1913,1.420823894557543,-1.012955313664861,37,Donald Trump,1,104,0.8317391304347826,3.0432483008403625e-5,2.5311886954380928e-5
2024-07-30,Arizona,Pollster D,rv,752,2.474944000830874,0.18581614131107926,75.7,Donald Trump,0,98,0.3269565217391304,5.5451599432176945e-5,1.8130262075216113e-5
2024-09-24,Nevada,Pollster D,rv,2058,2.037679357570596,-0.11276920011732727,75.6,Donald Trump,0,42,0.8947826086956522,0.014995576820477703,0.013417781346323094
2024-10-24,Michigan,Pollster D,lv,147,1.6606717453105375,-0.6684379865182564,56.3,Kamala Harris,0,12,0.06391304347826086,0.301194211912202,0.019250238761345084
2024-07-26,Nevada,Pollster A,lv,1797,2.4144052802585065,-0.9835698795504868,41.9,Donald Trump,0,102,0.7813043478260869,3.7170318684126666e-5,2.9041331597989398e-5
2024-10-09,Wisconsin,Pollster A,rv,1643,2.0815029066288844,1.5160808227956295,67.4,Kamala Harris,0,27,0.7143478260869566,0.06720551273974976,0.0480081119266995
2024-09-14,National,Pollster D,rv,2173,1.8278101512696594,1.826920052524656,57.4,Kamala Harris,1,52,0.9447826086956522,0.0055165644207607716,0.005211954124483982
2024-09-03,Wisconsin,Pollster C,rv,1317,1.06070014659781,-0.1072301915846765,66.9,Kamala Harris,0,63,0.5726086956521739,0.0018363047770289056,0.0010514840831943777
2024-08-23,Pennsylvania,Pollster C,lv,1983,1.1861760409083217,1.3605652517871931,74.2,Kamala Harris,0,74,0.8621739130434782,6.112527611295723e-4,5.270061849217138e-4
2024-10-09,Georgia,Pollster A,lv,1414,1.0086135352030396,1.3945794984465465,73.4,Kamala Harris,0,27,0.6147826086956522,0.06720551273974976,0.04131678044087224
2024-07-28,Georgia,Pollster B,lv,1247,2.871766684227623,0.3065589019097388,37.1,Kamala Harris,0,100,0.5421739130434783,4.5399929762484854e-5,2.4614657571225486e-5
2024-10-11,Pennsylvania,Pollster A,lv,1049,2.1693558503175154,1.037166076595895,79.5,Kamala Harris,0,25,0.45608695652173914,0.0820849986238988,0.03743789719846515
2024-09-23,Pennsylvania,Pollster B,rv,433,2.41757817461621,0.6466847753617913,57,Kamala Harris,0,43,0.1882608695652174,0.013568559012200934,0.002554428718383915
2024-08-31,Pennsylvania,Pollster C,lv,549,2.888747987570241,-0.5262478701770306,51.6,Donald Trump,0,66,0.23869565217391303,0.0013603680375478928,3.247139359190405e-4
2024-08-24,Pennsylvania,Pollster A,rv,1817,1.8606789096957073,-1.4473556485027075,37.5,Kamala Harris,0,73,0.79,6.755387751938437e-4,5.336756324031365e-4
2024-10-30,Georgia,Pollster B,rv,395,1.8274412899045274,-0.7506246116245165,62.1,Kamala Harris,0,6,0.17173913043478262,0.5488116360940264,0.09425243315527845
2024-09-24,Arizona,Pollster A,lv,1100,1.941523203975521,1.4688432187540457,45.3,Donald Trump,0,42,0.4782608695652174,0.014995576820477703,0.007171797609793684
2024-08-07,Nevada,Pollster D,rv,962,0.8393733646953478,-0.4168337424052879,33.6,Donald Trump,0,90,0.4182608695652174,1.2340980408667956e-4,5.161749197016771e-5
2024-08-27,Pennsylvania,Pollster C,rv,1075,1.5919139737961814,1.4289677402703092,36.2,Donald Trump,0,70,0.4673913043478261,9.118819655545162e-4,4.2620570129178476e-4
2024-07-27,Georgia,Pollster B,lv,1428,0.7404856123030186,-0.7847390943206847,38.4,Kamala Harris,0,101,0.6208695652173913,4.107955522530065e-5,2.550504559205623e-5
2024-08-19,Georgia,Pollster B,lv,1543,1.652540118782781,-1.1275401387829334,51.2,Donald Trump,0,78,0.6708695652173913,4.0973497897978643e-4,2.7487872720252627e-4
2024-09-16,Pennsylvania,Pollster D,lv,731,2.0821740846149623,0.32837457535788417,33.5,Kamala Harris,0,50,0.31782608695652176,0.006737946999085467,0.0021414953288397725
2024-10-25,Pennsylvania,Pollster A,rv,1581,1.59116124920547,-0.25854602560866624,40.5,Kamala Harris,0,11,0.6873913043478261,0.33287108369807955,0.2288126884028973
2024-10-31,Wisconsin,Pollster D,rv,1628,2.836575879016891,-0.6917176970746368,35.9,Kamala Harris,0,5,0.7078260869565217,0.6065306597126334,0.429318223483551
2024-10-13,Wisconsin,Pollster D,rv,1270,0.7942969789728522,1.1910683765308931,36.7,Kamala Harris,0,23,0.5521739130434783,0.1002588437228037,0.05536031805563509
2024-09-11,Nevada,Pollster D,lv,498,2.1158005280885845,-1.2501533877803013,72.7,Donald Trump,0,55,0.2165217391304348,0.004086771438464067,8.848748592848284e-4
2024-10-01,National,Pollster D,lv,1322,2.639373862883076,0.6120386145776138,47.9,Kamala Harris,1,35,0.5747826086956521,0.0301973834223185,0.017356930819263067
2024-08-21,Georgia,Pollster B,lv,1797,1.6396425927523524,0.5609702488873154,48.7,Donald Trump,0,76,0.7813043478260869,5.004514334406104e-4,3.9100488082294645e-4
2024-10-27,Michigan,Pollster B,lv,1263,1.5288769216276705,-0.9105986909708008,35.3,Kamala Harris,0,9,0.5491304347826087,0.4065696597405991,0.22325977402277247
2024-08-24,Nevada,Pollster C,rv,18,2.527087121969089,0.5107732064789161,54.4,Kamala Harris,0,73,0.00782608695652174,6.755387751938437e-4,5.286825197169212e-6
2024-10-25,Wisconsin,Pollster C,lv,158,1.6461333726765588,-0.7214268050156534,75.9,Kamala Harris,0,11,0.06869565217391305,0.33287108369807955,0.02286679618447677
2024-08-17,Michigan,Pollster C,rv,733,2.9628784565720707,1.851017384789884,45.3,Donald Trump,0,80,0.31869565217391305,3.3546262790251185e-4,1.0691048097936573e-4
2024-08-21,National,Pollster A,lv,627,1.5806912288535386,1.8294460620963946,58,Donald Trump,1,76,0.27260869565217394,5.004514334406104e-4,1.3642741250750553e-4
2024-09-29,National,Pollster B,lv,1156,0.9473927221260965,1.8439305071951821,48.6,Kamala Harris,1,37,0.5026086956521739,0.024723526470339388,0.012426259391179275
2024-10-30,Georgia,Pollster A,lv,479,2.557111613685265,0.09872953593730927,58.2,Donald Trump,0,6,0.2082608695652174,0.5488116360940264,0.11429598856045158
2024-10-04,Arizona,Pollster B,rv,1616,1.3661453099921346,0.48469853517599404,76.5,Kamala Harris,0,32,0.7026086956521739,0.04076220397836621,0.028639878969147735
2024-09-23,Michigan,Pollster D,rv,1623,0.7925219282042235,0.0813424694351852,44,Donald Trump,0,43,0.7056521739130435,0.013568559012200934,0.009574683163827006
2024-10-09,National,Pollster D,lv,870,1.51340091729071,-0.6436733625596389,33.9,Donald Trump,1,27,0.3782608695652174,0.06720551273974976,0.025421215688514038
2024-09-18,North Carolina,Pollster A,rv,1614,2.463785847183317,-1.4144239841261879,46.3,Donald Trump,0,48,0.7017391304347826,0.008229747049020023,0.00577513553787753
2024-08-04,Georgia,Pollster A,rv,1225,1.1009603349957615,1.3613760225707665,47.7,Donald Trump,0,93,0.532608695652174,9.142423147817327e-5,4.869334067859229e-5
2024-10-01,Wisconsin,Pollster D,lv,1705,0.7394113567424938,1.8788315318524837,49,Donald Trump,0,35,0.741304347826087,0.0301973834223185,0.02238545162393611
2024-09-18,National,Pollster A,lv,1362,1.5222174803493544,0.5509166778065264,33.2,Donald Trump,1,48,0.5921739130434782,0.008229747049020023,0.0048734415133762045
2024-08-14,National,Pollster A,rv,261,2.8374780267477036,1.2488439748995006,73.1,Donald Trump,1,83,0.11347826086956522,2.4851682710795185e-4,2.8201257337032797e-5
2024-10-20,Wisconsin,Pollster B,rv,776,0.6290625444380566,0.751985962735489,70.5,Kamala Harris,0,16,0.3373913043478261,0.20189651799465538,0.06811812954950112
