pollster,numeric_grade,state,candidate_name,pct,sample_size,population,methodology,start_date,end_date,national_poll,recency
YouGov,3,NA,Kamala Harris,50,2154,lv,Online Panel,2024-10-23,2024-10-25,1,11
Emerson,2.9,Montana,Kamala Harris,39.6,1000,lv,Online Panel/Text-to-Web,2024-10-23,2024-10-25,0,11
Emerson,2.9,NA,Kamala Harris,49.3,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-23,2024-10-24,1,12
Cygnal,2.1,New Jersey,Kamala Harris,51.8,600,lv,NA,2024-10-23,2024-10-24,0,12
Emerson,2.9,New Hampshire,Kamala Harris,50.9,915,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-23,0,13
Siena/NYT,3,NA,Kamala Harris,47,2516,rv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Kamala Harris,45,2516,rv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Kamala Harris,48,2516,lv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Kamala Harris,46,2516,lv,Live Phone,2024-10-20,2024-10-23,1,13
CNN/SSRS,2.8,NA,Kamala Harris,47,1704,lv,Probability Panel,2024-10-20,2024-10-23,1,13
CNN/SSRS,2.8,NA,Kamala Harris,47,1704,rv,Probability Panel,2024-10-20,2024-10-23,1,13
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,49,1004,lv,Live Phone/Text-to-Web,2024-10-19,2024-10-23,0,13
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,48,1004,rv,Live Phone/Text-to-Web,2024-10-19,2024-10-23,0,13
Emerson,2.9,Pennsylvania,Kamala Harris,49,860,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
Emerson,2.9,North Carolina,Kamala Harris,48.2,950,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
Emerson,2.9,Wisconsin,Kamala Harris,49.2,800,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
YouGov,3,NA,Kamala Harris,48,1422,rv,Online Panel,2024-10-19,2024-10-22,1,14
YouGov,3,NA,Kamala Harris,49,1293,lv,Online Panel,2024-10-19,2024-10-22,1,14
Emerson,2.9,South Dakota,Kamala Harris,36.5,825,lv,IVR/Online Panel/Text-to-Web,2024-10-19,2024-10-22,0,14
Ipsos,2.8,NA,Kamala Harris,48,2808,a,Probability Panel,2024-10-18,2024-10-22,1,14
Ipsos,2.8,NA,Kamala Harris,49,2392,rv,Probability Panel,2024-10-18,2024-10-22,1,14
Ipsos,2.8,NA,Kamala Harris,51,1913,lv,Probability Panel,2024-10-18,2024-10-22,1,14
Marist,2.9,Georgia,Kamala Harris,49,1356,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Georgia,Kamala Harris,49,1193,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,North Carolina,Kamala Harris,48,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
