pollster,numeric_grade,state,candidate_name,pct,sample_size,population,methodology,start_date,end_date,national_poll,recency
YouGov,3,NA,Donald Trump,49,2154,lv,Online Panel,2024-10-23,2024-10-25,1,11
Emerson,2.9,Montana,Donald Trump,58.6,1000,lv,Online Panel/Text-to-Web,2024-10-23,2024-10-25,0,11
Emerson,2.9,NA,Donald Trump,49.3,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-23,2024-10-24,1,12
Cygnal,2.1,New Jersey,Donald Trump,40.3,600,lv,NA,2024-10-23,2024-10-24,0,12
Emerson,2.9,New Hampshire,Donald Trump,47.2,915,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-23,0,13
Siena/NYT,3,NA,Donald Trump,47,2516,rv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Donald Trump,46,2516,rv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Donald Trump,48,2516,lv,Live Phone,2024-10-20,2024-10-23,1,13
Siena/NYT,3,NA,Donald Trump,47,2516,lv,Live Phone,2024-10-20,2024-10-23,1,13
CNN/SSRS,2.8,NA,Donald Trump,47,1704,lv,Probability Panel,2024-10-20,2024-10-23,1,13
CNN/SSRS,2.8,NA,Donald Trump,46,1704,rv,Probability Panel,2024-10-20,2024-10-23,1,13
Washington Post/George Mason University,2.7,Virginia,Donald Trump,43,1004,lv,Live Phone/Text-to-Web,2024-10-19,2024-10-23,0,13
Washington Post/George Mason University,2.7,Virginia,Donald Trump,42,1004,rv,Live Phone/Text-to-Web,2024-10-19,2024-10-23,0,13
Emerson,2.9,Pennsylvania,Donald Trump,50.7,860,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
Emerson,2.9,North Carolina,Donald Trump,50.2,950,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
Emerson,2.9,Wisconsin,Donald Trump,49.9,800,lv,Online Panel/Text-to-Web,2024-10-21,2024-10-22,0,14
YouGov,3,NA,Donald Trump,46,1422,rv,Online Panel,2024-10-19,2024-10-22,1,14
YouGov,3,NA,Donald Trump,46,1293,lv,Online Panel,2024-10-19,2024-10-22,1,14
Emerson,2.9,South Dakota,Donald Trump,62,825,lv,IVR/Online Panel/Text-to-Web,2024-10-19,2024-10-22,0,14
Ipsos,2.8,NA,Donald Trump,47,2808,a,Probability Panel,2024-10-18,2024-10-22,1,14
Ipsos,2.8,NA,Donald Trump,47,2392,rv,Probability Panel,2024-10-18,2024-10-22,1,14
Ipsos,2.8,NA,Donald Trump,47,1913,lv,Probability Panel,2024-10-18,2024-10-22,1,14
Marist,2.9,Georgia,Donald Trump,48,1356,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Georgia,Donald Trump,49,1193,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,North Carolina,Donald Trump,49,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,North Carolina,Donald Trump,50,1226,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Arizona,Donald Trump,49,1329,rv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
Marist,2.9,Arizona,Donald Trump,50,1193,lv,Live Phone/Online Panel/Text-to-Web,2024-10-17,2024-10-22,0,14
University of Maryland/Washington Post,2.5,Maryland,Donald Trump,33,1000,lv,Live Phone/Text-to-Web,2024-10-17,2024-10-22,0,14
Emerson,2.9,Maryland,Donald Trump,34.4,865,lv,Online Panel/Text-to-Web,2024-10-19,2024-10-21,0,15
YouGov,3,NA,Donald Trump,45,1266,rv,Online Panel,2024-10-18,2024-10-21,1,15
YouGov,3,NA,Donald Trump,45,1189,lv,Online Panel,2024-10-18,2024-10-21,1,15
Emerson,2.9,Texas,Donald Trump,53.1,815,lv,IVR/Online Panel/Text-to-Web,2024-10-18,2024-10-21,0,15
Monmouth,2.9,NA,Donald Trump,44,802,rv,Live Phone/Text-to-Web,2024-10-17,2024-10-21,1,15
Quinnipiac,2.8,Michigan,Donald Trump,46,1136,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Michigan,Donald Trump,46,1136,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Wisconsin,Donald Trump,48,1108,lv,Live Phone,2024-10-17,2024-10-21,0,15
Quinnipiac,2.8,Wisconsin,Donald Trump,48,1108,lv,Live Phone,2024-10-17,2024-10-21,0,15
Ipsos,2.8,NA,Donald Trump,43,3481,rv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Donald Trump,45,3307,lv,Probability Panel,2024-10-16,2024-10-21,1,15
Ipsos,2.8,NA,Donald Trump,39,4129,a,Probability Panel,2024-10-16,2024-10-21,1,15
