pollster,numeric_grade,state,pct,sample_size,population,methodology,recency_weight,sample_size_weight,national_poll
TIPP,1.8,NA,48,1292,lv,Online Panel,0.9672161004820059,0.5617391304347826,1
TIPP,1.8,NA,48,1333,lv,Online Panel,0.9355069850316178,0.5795652173913044,1
YouGov,3,NA,50,2154,lv,Online Panel,0.9355069850316178,0.9365217391304348,1
Emerson,2.9,Montana,39.6,1000,lv,Online Panel/Text-to-Web,0.9355069850316178,0.43478260869565216,0
Emerson,2.9,NA,49.3,1000,lv,IVR/Online Panel/Text-to-Web,0.9048374180359595,0.43478260869565216,1
Cygnal,2.1,New Jersey,51.8,600,lv,NA,0.9048374180359595,0.2608695652173913,0
TIPP,1.8,NA,49,1357,lv,Online Panel,0.9048374180359595,0.59,1
TIPP,1.8,NA,50,1294,lv,Online Panel,0.8751733190429475,0.5626086956521739,1
Emerson,2.9,New Hampshire,50.9,915,lv,Online Panel/Text-to-Web,0.8751733190429475,0.3978260869565217,0
OnMessage Inc.,1.1,NA,46,800,lv,Online Panel,0.8751733190429475,0.34782608695652173,1
Tufts,1.8,NA,49,1033,a,Online Panel,0.8751733190429475,0.4491304347826087,1
Tufts,1.8,NA,49,633,lv,Online Panel,0.8751733190429475,0.2752173913043478,1
Siena/NYT,3,NA,47,2516,rv,Live Phone,0.8751733190429475,1,1
Siena/NYT,3,NA,45,2516,rv,Live Phone,0.8751733190429475,1,1
Siena/NYT,3,NA,48,2516,lv,Live Phone,0.8751733190429475,1,1
Siena/NYT,3,NA,46,2516,lv,Live Phone,0.8751733190429475,1,1
CNN/SSRS,2.8,NA,47,1704,lv,Probability Panel,0.8751733190429475,0.7408695652173913,1
CNN/SSRS,2.8,NA,47,1704,rv,Probability Panel,0.8751733190429475,0.7408695652173913,1
Washington Post/George Mason University,2.7,Virginia,49,1004,lv,Live Phone/Text-to-Web,0.8751733190429475,0.4365217391304348,0
Washington Post/George Mason University,2.7,Virginia,48,1004,rv,Live Phone/Text-to-Web,0.8751733190429475,0.4365217391304348,0
Big Village,1.2,NA,46.2,2026,a,Online Panel,0.8751733190429475,0.8808695652173913,1
Big Village,1.2,NA,49,1739,rv,Online Panel,0.8751733190429475,0.7560869565217392,1
Big Village,1.2,NA,51.6,1592,lv,Online Panel,0.8751733190429475,0.6921739130434783,1
HarrisX,1.5,NA,49,1512,rv,Online Panel,0.8464817248906141,0.6573913043478261,1
HarrisX,1.5,NA,49,1244,lv,Online Panel,0.8464817248906141,0.5408695652173913,1
HarrisX,1.5,NA,48,1512,rv,Online Panel,0.8464817248906141,0.6573913043478261,1
HarrisX,1.5,NA,48,1244,lv,Online Panel,0.8464817248906141,0.5408695652173913,1
Emerson,2.9,Pennsylvania,49,860,lv,Online Panel/Text-to-Web,0.8464817248906141,0.3739130434782609,0
Emerson,2.9,North Carolina,48.2,950,lv,Online Panel/Text-to-Web,0.8464817248906141,0.41304347826086957,0
Emerson,2.9,Wisconsin,49.2,800,lv,Online Panel/Text-to-Web,0.8464817248906141,0.34782608695652173,0
TIPP,1.8,NA,49,1294,lv,Online Panel,0.8464817248906141,0.5626086956521739,1
Redfield & Wilton Strategies,1.8,Arizona,46,710,lv,Online Panel,0.8464817248906141,0.30869565217391304,0
Redfield & Wilton Strategies,1.8,Georgia,47,1168,lv,Online Panel,0.8464817248906141,0.5078260869565218,0
