pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,national_poll,recent_poll
TIPP,1.8,NA,Kamala Harris,DEM,48,1292,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48,1292,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Kamala Harris,DEM,48,1333,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48,1333,Voters,Online Panel,1,Recent
YouGov,3,NA,Kamala Harris,DEM,50,2154,Voters,Online Panel,1,Recent
YouGov,3,NA,Donald Trump,REP,49,2154,Voters,Online Panel,1,Recent
Emerson,2.9,Montana,Kamala Harris,DEM,39.6,1000,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Montana,Donald Trump,REP,58.6,1000,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,NA,Kamala Harris,DEM,49.3,1000,Voters,IVR/Online Panel/Text-to-Web,1,Recent
Emerson,2.9,NA,Donald Trump,REP,49.3,1000,Voters,IVR/Online Panel/Text-to-Web,1,Recent
Cygnal,2.1,New Jersey,Kamala Harris,DEM,51.8,600,Voters,NA,0,Recent
Cygnal,2.1,New Jersey,Donald Trump,REP,40.3,600,Voters,NA,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,49,1357,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,47,1357,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Kamala Harris,DEM,50,1294,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,47,1294,Voters,Online Panel,1,Recent
Emerson,2.9,New Hampshire,Kamala Harris,DEM,50.9,915,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,New Hampshire,Donald Trump,REP,47.2,915,Voters,Online Panel/Text-to-Web,0,Recent
OnMessage Inc.,1.1,NA,Kamala Harris,DEM,46,800,Voters,Online Panel,1,Recent
OnMessage Inc.,1.1,NA,Donald Trump,REP,47,800,Voters,Online Panel,1,Recent
Tufts,1.8,NA,Kamala Harris,DEM,49,1033,Adults,Online Panel,1,Recent
Tufts,1.8,NA,Donald Trump,REP,45,1033,Adults,Online Panel,1,Recent
Tufts,1.8,NA,Kamala Harris,DEM,49,633,Voters,Online Panel,1,Recent
Tufts,1.8,NA,Donald Trump,REP,48,633,Voters,Online Panel,1,Recent
Siena/NYT,3,NA,Kamala Harris,DEM,47,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Donald Trump,REP,47,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Kamala Harris,DEM,45,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Donald Trump,REP,46,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Kamala Harris,DEM,48,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Donald Trump,REP,48,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Kamala Harris,DEM,46,2516,Voters,Live Phone,1,Recent
Siena/NYT,3,NA,Donald Trump,REP,47,2516,Voters,Live Phone,1,Recent
CNN/SSRS,2.8,NA,Kamala Harris,DEM,47,1704,Voters,Probability Panel,1,Recent
CNN/SSRS,2.8,NA,Donald Trump,REP,47,1704,Voters,Probability Panel,1,Recent
CNN/SSRS,2.8,NA,Kamala Harris,DEM,47,1704,Voters,Probability Panel,1,Recent
CNN/SSRS,2.8,NA,Donald Trump,REP,46,1704,Voters,Probability Panel,1,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,49,1004,Voters,Live Phone/Text-to-Web,0,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,43,1004,Voters,Live Phone/Text-to-Web,0,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,48,1004,Voters,Live Phone/Text-to-Web,0,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,42,1004,Voters,Live Phone/Text-to-Web,0,Recent
Big Village,1.2,NA,Kamala Harris,DEM,46.2,2026,Adults,Online Panel,1,Recent
Big Village,1.2,NA,Donald Trump,REP,41.1,2026,Adults,Online Panel,1,Recent
Big Village,1.2,NA,Kamala Harris,DEM,49,1739,Voters,Online Panel,1,Recent
Big Village,1.2,NA,Donald Trump,REP,43.2,1739,Voters,Online Panel,1,Recent
Big Village,1.2,NA,Kamala Harris,DEM,51.6,1592,Voters,Online Panel,1,Recent
Big Village,1.2,NA,Donald Trump,REP,45,1592,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Kamala Harris,DEM,49,1512,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Donald Trump,REP,51,1512,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Kamala Harris,DEM,49,1244,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Donald Trump,REP,51,1244,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Kamala Harris,DEM,48,1512,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Donald Trump,REP,48,1512,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Kamala Harris,DEM,48,1244,Voters,Online Panel,1,Recent
HarrisX,1.5,NA,Donald Trump,REP,49,1244,Voters,Online Panel,1,Recent
Emerson,2.9,Pennsylvania,Kamala Harris,DEM,49,860,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Pennsylvania,Donald Trump,REP,50.7,860,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,North Carolina,Kamala Harris,DEM,48.2,950,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,North Carolina,Donald Trump,REP,50.2,950,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Wisconsin,Kamala Harris,DEM,49.2,800,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Wisconsin,Donald Trump,REP,49.9,800,Voters,Online Panel/Text-to-Web,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,49,1294,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,47,1294,Voters,Online Panel,1,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,46,710,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,48,710,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1168,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1168,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1115,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1115,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,46,540,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,540,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,47,679,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,679,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1586,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,47,1586,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,49,557,Voters,Online Panel,0,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,47,557,Voters,Online Panel,0,Recent
YouGov,3,NA,Kamala Harris,DEM,48,1422,Voters,Online Panel,1,Recent
YouGov,3,NA,Donald Trump,REP,46,1422,Voters,Online Panel,1,Recent
YouGov,3,NA,Kamala Harris,DEM,49,1293,Voters,Online Panel,1,Recent
YouGov,3,NA,Donald Trump,REP,46,1293,Voters,Online Panel,1,Recent
Emerson,2.9,South Dakota,Kamala Harris,DEM,36.5,825,Voters,IVR/Online Panel/Text-to-Web,0,Recent
Emerson,2.9,South Dakota,Donald Trump,REP,62,825,Voters,IVR/Online Panel/Text-to-Web,0,Recent
OnMessage Inc.,1.1,Nevada,Kamala Harris,DEM,47,600,Voters,Text-to-Web,0,Recent
OnMessage Inc.,1.1,Nevada,Donald Trump,REP,50,600,Voters,Text-to-Web,0,Recent
OnMessage Inc.,1.1,Ohio,Kamala Harris,DEM,44,600,Voters,Text-to-Web,0,Recent
OnMessage Inc.,1.1,Ohio,Donald Trump,REP,52,600,Voters,Text-to-Web,0,Recent
OnMessage Inc.,1.1,Wisconsin,Kamala Harris,DEM,47,600,Voters,Text-to-Web,0,Recent
OnMessage Inc.,1.1,Wisconsin,Donald Trump,REP,48,600,Voters,Text-to-Web,0,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,48,2808,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,47,2808,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,49,2392,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,47,2392,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,51,1913,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,47,1913,Voters,Probability Panel,1,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1356,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Georgia,Donald Trump,REP,48,1356,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Georgia,Donald Trump,REP,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,North Carolina,Kamala Harris,DEM,48,1410,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,North Carolina,Donald Trump,REP,49,1410,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,North Carolina,Kamala Harris,DEM,48,1226,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,North Carolina,Donald Trump,REP,50,1226,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Arizona,Kamala Harris,DEM,49,1329,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Arizona,Donald Trump,REP,49,1329,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Arizona,Kamala Harris,DEM,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
Marist,2.9,Arizona,Donald Trump,REP,50,1193,Voters,Live Phone/Online Panel/Text-to-Web,0,Recent
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,DEM,61,1000,Voters,Live Phone/Text-to-Web,0,Recent
University of Maryland/Washington Post,2.5,Maryland,Donald Trump,REP,33,1000,Voters,Live Phone/Text-to-Web,0,Recent
Redfield & Wilton Strategies,1.8,NA,Kamala Harris,DEM,45,1189,Voters,Online Panel,1,Recent
Redfield & Wilton Strategies,1.8,NA,Donald Trump,REP,47,1189,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Kamala Harris,DEM,48,1268,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48,1268,Voters,Online Panel,1,Recent
Emerson,2.9,Maryland,Kamala Harris,DEM,64,865,Voters,Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Maryland,Donald Trump,REP,34.4,865,Voters,Online Panel/Text-to-Web,0,Recent
YouGov,3,NA,Kamala Harris,DEM,47,1266,Voters,Online Panel,1,Recent
YouGov,3,NA,Donald Trump,REP,45,1266,Voters,Online Panel,1,Recent
YouGov,3,NA,Kamala Harris,DEM,48,1189,Voters,Online Panel,1,Recent
YouGov,3,NA,Donald Trump,REP,45,1189,Voters,Online Panel,1,Recent
Emerson,2.9,Texas,Kamala Harris,DEM,45.9,815,Voters,IVR/Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Texas,Donald Trump,REP,53.1,815,Voters,IVR/Online Panel/Text-to-Web,0,Recent
Change Research,1.4,Nebraska,Kamala Harris,DEM,41,815,Voters,Text-to-Web/Online Ad,0,Recent
Change Research,1.4,Nebraska,Donald Trump,REP,55,815,Voters,Text-to-Web/Online Ad,0,Recent
Monmouth,2.9,NA,Kamala Harris,DEM,47,802,Voters,Live Phone/Text-to-Web,1,Recent
Monmouth,2.9,NA,Donald Trump,REP,44,802,Voters,Live Phone/Text-to-Web,1,Recent
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,49,1136,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Michigan,Donald Trump,REP,46,1136,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,50,1136,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Michigan,Donald Trump,REP,46,1136,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,48,1108,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1108,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,48,1108,Voters,Live Phone,0,Recent
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1108,Voters,Live Phone,0,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,46,3481,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,43,3481,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,48,3307,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,45,3307,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,41,4129,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,39,4129,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,41,4129,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,39,4129,Adults,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,45,3481,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,43,3481,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,47,3307,Voters,Probability Panel,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,45,3307,Voters,Probability Panel,1,Recent
InsiderAdvantage,2,Nevada,Kamala Harris,DEM,47.7,800,Voters,NA,0,Recent
InsiderAdvantage,2,Nevada,Donald Trump,REP,47.9,800,Voters,NA,0,Recent
InsiderAdvantage,2,Arizona,Kamala Harris,DEM,47,800,Voters,NA,0,Recent
InsiderAdvantage,2,Arizona,Donald Trump,REP,49.5,800,Voters,NA,0,Recent
InsiderAdvantage,2,North Carolina,Kamala Harris,DEM,46.8,800,Voters,NA,0,Recent
InsiderAdvantage,2,North Carolina,Donald Trump,REP,48.7,800,Voters,NA,0,Recent
HighGround,1.8,Arizona,Kamala Harris,DEM,46.2,400,Voters,Live Phone,0,Recent
HighGround,1.8,Arizona,Donald Trump,REP,46.8,400,Voters,Live Phone,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,47,1244,Voters,Online Panel,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48,1244,Voters,Online Panel,1,Recent
Trafalgar Group,0.7,Wisconsin,Kamala Harris,DEM,46.6,1083,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Trafalgar Group,0.7,Wisconsin,Donald Trump,REP,46.8,1083,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Trafalgar Group,0.7,Michigan,Kamala Harris,DEM,44.2,1090,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Trafalgar Group,0.7,Michigan,Donald Trump,REP,46,1090,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Recent
Morning Consult,1.9,NA,Kamala Harris,DEM,50,8570,Voters,Online Panel,1,Recent
Morning Consult,1.9,NA,Donald Trump,REP,46,8570,Voters,Online Panel,1,Recent
Emerson,2.9,Florida,Kamala Harris,DEM,45.9,860,Voters,IVR/Online Panel/Text-to-Web,0,Recent
Emerson,2.9,Florida,Donald Trump,REP,53.6,860,Voters,IVR/Online Panel/Text-to-Web,0,Recent
SurveyUSA/High Point University,2.8,North Carolina,Kamala Harris,DEM,47,1164,Voters,Online Panel,0,Recent
SurveyUSA/High Point University,2.8,North Carolina,Donald Trump,REP,46,1164,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,48,915,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,48,915,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,49,915,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,49,915,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,48,861,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,48,861,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,49,861,Voters,Online Panel,0,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,49,861,Voters,Online Panel,0,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,914,Voters,Online Panel,0,Recent
