pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,recent_poll
Emerson,2.9,Montana,Kamala Harris,DEM,39.6,1000,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Montana,Donald Trump,REP,58.6,1000,Voters,Online Panel/Text-to-Web,Recent
Cygnal,2.1,New Jersey,Kamala Harris,DEM,51.8,600,Voters,NA,Recent
Cygnal,2.1,New Jersey,Donald Trump,REP,40.3,600,Voters,NA,Recent
Emerson,2.9,New Hampshire,Kamala Harris,DEM,50.9,915,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,New Hampshire,Donald Trump,REP,47.2,915,Voters,Online Panel/Text-to-Web,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,49,1004,Voters,Live Phone/Text-to-Web,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,43,1004,Voters,Live Phone/Text-to-Web,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,48,1004,Voters,Live Phone/Text-to-Web,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,42,1004,Voters,Live Phone/Text-to-Web,Recent
Emerson,2.9,Pennsylvania,Kamala Harris,DEM,49,860,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Pennsylvania,Donald Trump,REP,50.7,860,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,North Carolina,Kamala Harris,DEM,48.2,950,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,North Carolina,Donald Trump,REP,50.2,950,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Wisconsin,Kamala Harris,DEM,49.2,800,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Wisconsin,Donald Trump,REP,49.9,800,Voters,Online Panel/Text-to-Web,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,46,710,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,48,710,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1168,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1168,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1115,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1115,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,46,540,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,540,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,47,679,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,679,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1586,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,47,1586,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,49,557,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,47,557,Voters,Online Panel,Recent
Emerson,2.9,South Dakota,Kamala Harris,DEM,36.5,825,Voters,IVR/Online Panel/Text-to-Web,Recent
Emerson,2.9,South Dakota,Donald Trump,REP,62,825,Voters,IVR/Online Panel/Text-to-Web,Recent
OnMessage Inc.,1.1,Nevada,Kamala Harris,DEM,47,600,Voters,Text-to-Web,Recent
OnMessage Inc.,1.1,Nevada,Donald Trump,REP,50,600,Voters,Text-to-Web,Recent
OnMessage Inc.,1.1,Ohio,Kamala Harris,DEM,44,600,Voters,Text-to-Web,Recent
OnMessage Inc.,1.1,Ohio,Donald Trump,REP,52,600,Voters,Text-to-Web,Recent
OnMessage Inc.,1.1,Wisconsin,Kamala Harris,DEM,47,600,Voters,Text-to-Web,Recent
OnMessage Inc.,1.1,Wisconsin,Donald Trump,REP,48,600,Voters,Text-to-Web,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1356,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Georgia,Donald Trump,REP,48,1356,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Georgia,Donald Trump,REP,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,North Carolina,Kamala Harris,DEM,48,1410,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,North Carolina,Donald Trump,REP,49,1410,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,North Carolina,Kamala Harris,DEM,48,1226,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,North Carolina,Donald Trump,REP,50,1226,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Arizona,Kamala Harris,DEM,49,1329,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Arizona,Donald Trump,REP,49,1329,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Arizona,Kamala Harris,DEM,49,1193,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Arizona,Donald Trump,REP,50,1193,Voters,Live Phone/Online Panel/Text-to-Web,Recent
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,DEM,61,1000,Voters,Live Phone/Text-to-Web,Recent
University of Maryland/Washington Post,2.5,Maryland,Donald Trump,REP,33,1000,Voters,Live Phone/Text-to-Web,Recent
Emerson,2.9,Maryland,Kamala Harris,DEM,64,865,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Maryland,Donald Trump,REP,34.4,865,Voters,Online Panel/Text-to-Web,Recent
Emerson,2.9,Texas,Kamala Harris,DEM,45.9,815,Voters,IVR/Online Panel/Text-to-Web,Recent
Emerson,2.9,Texas,Donald Trump,REP,53.1,815,Voters,IVR/Online Panel/Text-to-Web,Recent
Change Research,1.4,Nebraska,Kamala Harris,DEM,41,815,Voters,Text-to-Web/Online Ad,Recent
Change Research,1.4,Nebraska,Donald Trump,REP,55,815,Voters,Text-to-Web/Online Ad,Recent
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,49,1136,Voters,Live Phone,Recent
Quinnipiac,2.8,Michigan,Donald Trump,REP,46,1136,Voters,Live Phone,Recent
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,50,1136,Voters,Live Phone,Recent
Quinnipiac,2.8,Michigan,Donald Trump,REP,46,1136,Voters,Live Phone,Recent
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,48,1108,Voters,Live Phone,Recent
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1108,Voters,Live Phone,Recent
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,48,1108,Voters,Live Phone,Recent
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1108,Voters,Live Phone,Recent
InsiderAdvantage,2,Nevada,Kamala Harris,DEM,47.7,800,Voters,NA,Recent
InsiderAdvantage,2,Nevada,Donald Trump,REP,47.9,800,Voters,NA,Recent
InsiderAdvantage,2,Arizona,Kamala Harris,DEM,47,800,Voters,NA,Recent
InsiderAdvantage,2,Arizona,Donald Trump,REP,49.5,800,Voters,NA,Recent
InsiderAdvantage,2,North Carolina,Kamala Harris,DEM,46.8,800,Voters,NA,Recent
InsiderAdvantage,2,North Carolina,Donald Trump,REP,48.7,800,Voters,NA,Recent
HighGround,1.8,Arizona,Kamala Harris,DEM,46.2,400,Voters,Live Phone,Recent
HighGround,1.8,Arizona,Donald Trump,REP,46.8,400,Voters,Live Phone,Recent
Trafalgar Group,0.7,Wisconsin,Kamala Harris,DEM,46.6,1083,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
Trafalgar Group,0.7,Wisconsin,Donald Trump,REP,46.8,1083,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
Trafalgar Group,0.7,Michigan,Kamala Harris,DEM,44.2,1090,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
Trafalgar Group,0.7,Michigan,Donald Trump,REP,46,1090,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
Emerson,2.9,Florida,Kamala Harris,DEM,45.9,860,Voters,IVR/Online Panel/Text-to-Web,Recent
Emerson,2.9,Florida,Donald Trump,REP,53.6,860,Voters,IVR/Online Panel/Text-to-Web,Recent
SurveyUSA/High Point University,2.8,North Carolina,Kamala Harris,DEM,47,1164,Voters,Online Panel,Recent
SurveyUSA/High Point University,2.8,North Carolina,Donald Trump,REP,46,1164,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,48,915,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,48,915,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,49,915,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,49,915,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,48,861,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,48,861,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Kamala Harris,DEM,49,861,Voters,Online Panel,Recent
Morning Consult,1.9,Arizona,Donald Trump,REP,49,861,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,914,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,47,914,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,914,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,49,914,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,855,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,49,855,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Kamala Harris,DEM,48,855,Voters,Online Panel,Recent
Morning Consult,1.9,Georgia,Donald Trump,REP,50,855,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,47,756,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,45,756,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,48,756,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,756,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,49,705,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,705,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Kamala Harris,DEM,50,705,Voters,Online Panel,Recent
Morning Consult,1.9,Michigan,Donald Trump,REP,46,705,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,48,449,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,47,449,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,49,449,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,449,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,48,420,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,420,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Kamala Harris,DEM,49,420,Voters,Online Panel,Recent
Morning Consult,1.9,Nevada,Donald Trump,REP,48,420,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,46,755,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49,755,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,47,755,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,50,755,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,48,702,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49,702,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,48,702,Voters,Online Panel,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,50,702,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,48,866,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,866,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,48,866,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,866,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,50,812,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,812,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,50,812,Voters,Online Panel,Recent
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,48,812,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,47,635,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,47,635,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,48,635,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,48,635,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,47,624,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,47,624,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,48,624,Voters,Online Panel,Recent
Morning Consult,1.9,Wisconsin,Donald Trump,REP,48,624,Voters,Online Panel,Recent
Cherry Communications,1,Florida,Kamala Harris,DEM,45,614,Voters,Live Phone,Recent
Cherry Communications,1,Florida,Donald Trump,REP,51,614,Voters,Live Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,49,794,Voters,Mail-to-Web/Mail-to-Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,45,794,Voters,Mail-to-Web/Mail-to-Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,49,583,Voters,Mail-to-Web/Mail-to-Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,50,583,Voters,Mail-to-Web/Mail-to-Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,48,794,Voters,Mail-to-Web/Mail-to-Phone,Recent
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,44,794,Voters,Mail-to-Web/Mail-to-Phone,Recent
Trafalgar Group,0.7,Pennsylvania,Kamala Harris,DEM,43.3,1084,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
Trafalgar Group,0.7,Pennsylvania,Donald Trump,REP,46.3,1084,Voters,IVR/Live Phone/Text/Online Panel/Email,Recent
HarrisX,1.5,Utah,Kamala Harris,DEM,31,813,Voters,Online Panel,Recent
HarrisX,1.5,Utah,Donald Trump,REP,63,813,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,46,691,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,49,691,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Florida,Kamala Harris,DEM,45,1275,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Florida,Donald Trump,REP,49,1275,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1008,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1008,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,46,529,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,529,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,47,622,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,46,622,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,45,843,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,843,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1019,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1019,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1256,Voters,Online Panel,Recent
